asset_id,asset_tag,bunit,category,city,country,dns,ip,is_expected,key,lat,long,mac,nt_host,owner,pci_domain,priority,requires_av,should_timesync,should_update,__mv_asset_tag,__mv_category,__mv_dns,__mv_ip,__mv_key,__mv_mac,__mv_nt_host,__mv_pci_domain
88910eb5a1caf782030c7880da5f0db6104ec69d,"should_timesync
should_update
apac",apac,,Istanbul,TR,,"6.0.0.1
6.0.0.2/31
6.0.0.4/30
6.0.0.8/29
6.0.0.16/28
6.0.0.32/27
6.0.0.64/26
6.0.0.128/25
6.0.1.0/24
6.0.2.0/23
6.0.4.0/22
6.0.8.0/21
6.0.16.0/20
6.0.32.0/19
6.0.64.0/18
6.0.128.0/17
6.1.0.0/16
6.2.0.0/15
6.4.0.0/14
6.8.0.0/13
6.16.0.0/12
6.32.0.0/11
6.64.0.0/10
6.128.0.0/9
7.0.0.0/8
8.0.0.0/8
9.0.0.0",false,"6.0.0.2/31
6.0.0.4/30
6.0.0.8/29
6.0.0.16/28
6.0.0.32/27
6.0.0.64/26
6.0.0.128/25
6.0.1.0/24
6.0.2.0/23
6.0.4.0/22
6.0.8.0/21
6.0.16.0/20
6.0.32.0/19
6.0.64.0/18
6.0.128.0/17
6.1.0.0/16
6.2.0.0/15
6.4.0.0/14
6.8.0.0/13
6.16.0.0/12
6.32.0.0/11
6.64.0.0/10
6.128.0.0/9
7.0.0.0/8
8.0.0.0/8",41.040855,28.986183,,,,untrust,low,false,true,true,$should_timesync$;$should_update$;$apac$,,,$6.0.0.1$;$6.0.0.2/31$;$6.0.0.4/30$;$6.0.0.8/29$;$6.0.0.16/28$;$6.0.0.32/27$;$6.0.0.64/26$;$6.0.0.128/25$;$6.0.1.0/24$;$6.0.2.0/23$;$6.0.4.0/22$;$6.0.8.0/21$;$6.0.16.0/20$;$6.0.32.0/19$;$6.0.64.0/18$;$6.0.128.0/17$;$6.1.0.0/16$;$6.2.0.0/15$;$6.4.0.0/14$;$6.8.0.0/13$;$6.16.0.0/12$;$6.32.0.0/11$;$6.64.0.0/10$;$6.128.0.0/9$;$7.0.0.0/8$;$8.0.0.0/8$;$9.0.0.0$,$6.0.0.2/31$;$6.0.0.4/30$;$6.0.0.8/29$;$6.0.0.16/28$;$6.0.0.32/27$;$6.0.0.64/26$;$6.0.0.128/25$;$6.0.1.0/24$;$6.0.2.0/23$;$6.0.4.0/22$;$6.0.8.0/21$;$6.0.16.0/20$;$6.0.32.0/19$;$6.0.64.0/18$;$6.0.128.0/17$;$6.1.0.0/16$;$6.2.0.0/15$;$6.4.0.0/14$;$6.8.0.0/13$;$6.16.0.0/12$;$6.32.0.0/11$;$6.64.0.0/10$;$6.128.0.0/9$;$7.0.0.0/8$;$8.0.0.0/8$,,,
bc1d44ae6fd724c41fb65efe8972f53f48c01319,"should_timesync
should_update
expected
pci
sox
emea",emea,"pci
sox",Havant,UK,,2.0.0.0/8,true,2.0.0.0/8,50.84436,-0.98451,,,,"dmz
trust",low,false,true,true,$should_timesync$;$should_update$;$expected$;$pci$;$sox$;$emea$,$pci$;$sox$,,$2.0.0.0/8$,,,,$dmz$;$trust$
c0104e9e2267c766adb90ba2a1a6d86dfef15d2b,"should_timesync
should_update
pci
hipaa
americas",americas,"pci
hipaa",Washington D.C.,USA,,"192.168.15.8/31
192.168.15.10",false,192.168.15.8/31,38.959405,-77.04,,,,trust,medium,false,true,true,$should_timesync$;$should_update$;$pci$;$hipaa$;$americas$,$pci$;$hipaa$,,$192.168.15.8/31$;$192.168.15.10$,,,,
ab55803d42d270e688c6d82e3fc0da4bf3abef01,"should_timesync
should_update
iso27002
americas",americas,iso27002,Pleasanton,USA,,192.168.0.0/16,false,192.168.0.0/16,37.694452,-121.894461,,,,untrust,high,false,true,true,$should_timesync$;$should_update$;$iso27002$;$americas$,,,$192.168.0.0/16$,,,,
61a97b169dc691085a267326df3f65b770734844,"should_timesync
should_update
americas",americas,,Washington D.C.,USA,,"192.168.15.9
192.168.15.10/31
192.168.15.12/30
192.168.15.16/28
192.168.15.32/27
192.168.15.64/26
192.168.15.128/25
192.168.16.0/20
192.168.32.0/19
192.168.64.0/18
192.168.128.0/17
192.169.0.0/21
192.169.8.0/22
192.169.12.0/23
192.169.14.0/24
192.169.15.0/28
192.169.15.16/29
192.169.15.24/30",false,"192.168.15.10/31
192.168.15.12/30
192.168.15.16/28
192.168.15.32/27
192.168.15.64/26
192.168.15.128/25
192.168.16.0/20
192.168.32.0/19
192.168.64.0/18
192.168.128.0/17
192.169.0.0/21
192.169.8.0/22
192.169.12.0/23
192.169.14.0/24
192.169.15.0/28
192.169.15.16/29
192.169.15.24/30",38.959405,-77.04,,,,untrust,medium,false,true,true,$should_timesync$;$should_update$;$americas$,,,$192.168.15.9$;$192.168.15.10/31$;$192.168.15.12/30$;$192.168.15.16/28$;$192.168.15.32/27$;$192.168.15.64/26$;$192.168.15.128/25$;$192.168.16.0/20$;$192.168.32.0/19$;$192.168.64.0/18$;$192.168.128.0/17$;$192.169.0.0/21$;$192.169.8.0/22$;$192.169.12.0/23$;$192.169.14.0/24$;$192.169.15.0/28$;$192.169.15.16/29$;$192.169.15.24/30$,$192.168.15.10/31$;$192.168.15.12/30$;$192.168.15.16/28$;$192.168.15.32/27$;$192.168.15.64/26$;$192.168.15.128/25$;$192.168.16.0/20$;$192.168.32.0/19$;$192.168.64.0/18$;$192.168.128.0/17$;$192.169.0.0/21$;$192.169.8.0/22$;$192.169.12.0/23$;$192.169.14.0/24$;$192.169.15.0/28$;$192.169.15.16/29$;$192.169.15.24/30$,,,
8f2a014379047aac7acf738b75d1f7c3e8c80b42,"should_timesync
should_update
expected
cardholder
pci
emea",emea,"cardholder
pci",Mauritania,AF,,10.252.0.0/16,true,10.252.0.0/16,20.8165052,-16.39597482,,,,"trust
cardholder",high,false,true,true,$should_timesync$;$should_update$;$expected$;$cardholder$;$pci$;$emea$,$cardholder$;$pci$,,$10.252.0.0/16$,,,,$trust$;$cardholder$
c3aa11e039d1b7cb1a049b179231f84fe64e1a88,"should_timesync
should_update
expected
pci
cardholder
americas",americas,"pci
cardholder",Pleasanton,USA,,68.87.0.0/16,true,68.87.0.0/16,37.694452,-121.894461,,,,"trust
cardholder",high,false,true,true,$should_timesync$;$should_update$;$expected$;$pci$;$cardholder$;$americas$,$pci$;$cardholder$,,$68.87.0.0/16$,,,,$trust$;$cardholder$
5135a3aa52925b9a465cbeaeff6b780b4c0d198e,"should_timesync
should_update
expected
billing
pci
americas",americas,"billing
pci",Pleasanton,USA,,"110.172.158.1
110.172.158.2/31
110.172.158.4/30
110.172.158.8/29",true,"110.172.158.2/31
110.172.158.4/30
110.172.158.8/29",37.694452,-121.894461,,,b.franklin,trust,critical,false,true,true,$should_timesync$;$should_update$;$expected$;$billing$;$pci$;$americas$,$billing$;$pci$,,$110.172.158.1$;$110.172.158.2/31$;$110.172.158.4/30$;$110.172.158.8/29$,$110.172.158.2/31$;$110.172.158.4/30$;$110.172.158.8/29$,,,
18cf50654710e1d4346f25aad234853b670841f5,"should_timesync
should_update
pci
emea",emea,pci,Havant,UK,,"10.11.36.1
10.11.36.2/31
10.11.36.4/30
10.11.36.8/29
10.11.36.16/30",false,"10.11.36.2/31
10.11.36.4/30
10.11.36.8/29
10.11.36.16/30",50.84436,-0.98451,,,,"wireless
trust",high,false,true,true,$should_timesync$;$should_update$;$pci$;$emea$,,,$10.11.36.1$;$10.11.36.2/31$;$10.11.36.4/30$;$10.11.36.8/29$;$10.11.36.16/30$,$10.11.36.2/31$;$10.11.36.4/30$;$10.11.36.8/29$;$10.11.36.16/30$,,,$wireless$;$trust$
a39a06975df786cfd54eb36eebf69e5ebf75d291,"should_timesync
should_update
expected
pci
americas",americas,pci,Dallas,USA,,"10.11.36.21
10.11.36.22/31
10.11.36.24/30
10.11.36.28/31
10.11.36.30",true,"10.11.36.22/31
10.11.36.24/30
10.11.36.28/31",32.931277,-96.818167,,,,trust,medium,false,true,true,$should_timesync$;$should_update$;$expected$;$pci$;$americas$,,,$10.11.36.21$;$10.11.36.22/31$;$10.11.36.24/30$;$10.11.36.28/31$;$10.11.36.30$,$10.11.36.22/31$;$10.11.36.24/30$;$10.11.36.28/31$,,,
