transport,src_category,dest_category,src_pci_domain,dest_pci_domain,dest_port,is_prohibited,is_secure,note
icmp,*,*,,,0,false,,permit_icmp0
udp,*,*,,,53,false,,permit_udp53
tcp,*,*,,,80,false,,permit_tcp80
tcp,*,*,,,443,false,,permit_tcp443
udp,*,*,,,500,false,,permit_udp500
udp,*,*,,,4500,false,,permit_udp4500
tcp,*,*,,,1723,false,,permit_tcp1723
udp,*,*,,,1701,false,,permit_udp1701
tcp,*,*,,,7,true,,deny_echo_tcp
udp,*,*,,,7,true,,deny_echo_udp
tcp,*,*,,,9,true,,deny_discard_tcp
udp,*,*,,,9,true,,deny_discard_udp
tcp,*,*,,,13,true,,deny_daytime_tcp
udp,*,*,,,13,true,,deny_daytime_udp
tcp,*,*,,,17,true,,deny_qotd_tcp
udp,*,*,,,17,true,,deny_qotd_udp
tcp,*,*,,,19,true,,deny_chargen_tcp
udp,*,*,,,19,true,,deny_chargen_udp
tcp,unknown,*,,,22,true,,deny_inbound_ssh_from_unknown
tcp,unknown,*,,,1521,true,,deny_inbound_oracle_from_unknown
tcp,unknown,*,,,3389,true,,deny_inbound_rdp_from_unknown
tcp,unknown,*,,,4133,true,,deny_inbound_sqlserver_from_unknown
#*,*,*,,,*,true,,default_deny_policy
*,*,*,,,*,false,,default_permit_policy
*,*,*,cardholder,untrust,*,true,false,deny_all_cardholder_to_untrust
*,*,*,untrust,cardholder,*,true,false,deny_all_untrust_to_cardholder
*,*,*,wireless,cardholder,80,true,false,deny_http_wireless_to_cardholder
icmp,*,*,untrust,dmz,*,false,,permit_icmp_untrust_to_dmz
tcp,*,*,untrust,dmz,80,false,,permit_tcp80_untrust_to_dmz
tcp,*,*,untrust,dmz,443,false,true,permit_tcp443_untrust_to_dmz
udp,*,*,untrust,dmz,500,false,true,permit_udp500_untrust_to_dmz
udp,*,*,untrust,dmz,4500,false,true,permit_udp4500_untrust_to_dmz
tcp,*,*,untrust,dmz,1723,false,true,permit_tcp1723_untrust_to_dmz
udp,*,*,untrust,dmz,1701,false,true,permit_udp1701_untrust_to_dmz
udp,*,*,dmz,cardholder,514,false,,permit_udp514_dmz_to_cardholder
tcp,*,*,dmz,cardholder,443,false,,permit_tcp443_dmz_to_cardholder
tcp,*,*,trust,trust,22,false,true,permit_tcp22_inside_trust
tcp,*,*,trust,trust,80,false,,permit_tcp80_inside_trust
tcp,*,*,trust,trust,443,false,true,permit_tcp443_inside_trust
tcp,*,*,trust,cardholder,1521,false,,permit_tcp1521_trust_to_cardholder
tcp,*,*,trust,cardholder,3389,false,,permit_tcp3389_trust_to_cardholder
tcp,*,*,trust,cardholder,4133,false,,permit_tcp4133_trust_to_cardholder
tcp,*,*,wireless,cardholder,443,false,,permit_tcp443_wireless_to_cardholder
tcp,*,*,wireless,cardholder,514,false,,permit_tcp514_wireless_to_cardholder
icmp,*,*,trust,trust,*,false,,permit_icmp_inside_trust
udp,*,*,trust,*,53,false,,permit_udp53_outbound_trust
*,*,*,wireless,wireless,*,false,,permit_all_inside_wireless
*,*,*,dmz,dmz,*,false,,permit_all_inside_dmz
*,*,*,cardholder,cardholder,*,false,,permit_all_inside_cardholder
