domain,length,segments
ac,2,1
com.ac,3,2
edu.ac,3,2
gov.ac,3,2
net.ac,3,2
mil.ac,3,2
org.ac,3,2
ad,2,1
nom.ad,3,2
ae,2,1
co.ae,3,2
net.ae,3,2
org.ae,3,2
sch.ae,3,2
ac.ae,3,2
gov.ae,3,2
mil.ae,3,2
aero,2,1
accident-investigation.aero,3,2
accident-prevention.aero,3,2
aerobatic.aero,3,2
aeroclub.aero,3,2
aerodrome.aero,3,2
agents.aero,3,2
aircraft.aero,3,2
airline.aero,3,2
airport.aero,3,2
air-surveillance.aero,3,2
airtraffic.aero,3,2
air-traffic-control.aero,3,2
ambulance.aero,3,2
amusement.aero,3,2
association.aero,3,2
author.aero,3,2
ballooning.aero,3,2
broker.aero,3,2
caa.aero,3,2
cargo.aero,3,2
catering.aero,3,2
certification.aero,3,2
championship.aero,3,2
charter.aero,3,2
civilaviation.aero,3,2
club.aero,3,2
conference.aero,3,2
consultant.aero,3,2
consulting.aero,3,2
control.aero,3,2
council.aero,3,2
crew.aero,3,2
design.aero,3,2
dgca.aero,3,2
educator.aero,3,2
emergency.aero,3,2
engine.aero,3,2
engineer.aero,3,2
entertainment.aero,3,2
equipment.aero,3,2
exchange.aero,3,2
express.aero,3,2
federation.aero,3,2
flight.aero,3,2
freight.aero,3,2
fuel.aero,3,2
gliding.aero,3,2
government.aero,3,2
groundhandling.aero,3,2
group.aero,3,2
hanggliding.aero,3,2
homebuilt.aero,3,2
insurance.aero,3,2
journal.aero,3,2
journalist.aero,3,2
leasing.aero,3,2
logistics.aero,3,2
magazine.aero,3,2
maintenance.aero,3,2
media.aero,3,2
microlight.aero,3,2
modelling.aero,3,2
navigation.aero,3,2
parachuting.aero,3,2
paragliding.aero,3,2
passenger-association.aero,3,2
pilot.aero,3,2
press.aero,3,2
production.aero,3,2
recreation.aero,3,2
repbody.aero,3,2
res.aero,3,2
research.aero,3,2
rotorcraft.aero,3,2
safety.aero,3,2
scientist.aero,3,2
services.aero,3,2
show.aero,3,2
skydiving.aero,3,2
software.aero,3,2
student.aero,3,2
trader.aero,3,2
trading.aero,3,2
trainer.aero,3,2
union.aero,3,2
workinggroup.aero,3,2
works.aero,3,2
af,2,1
gov.af,3,2
com.af,3,2
org.af,3,2
net.af,3,2
edu.af,3,2
ag,2,1
com.ag,3,2
org.ag,3,2
net.ag,3,2
co.ag,3,2
nom.ag,3,2
ai,2,1
off.ai,3,2
com.ai,3,2
net.ai,3,2
org.ai,3,2
al,2,1
com.al,3,2
edu.al,3,2
gov.al,3,2
mil.al,3,2
net.al,3,2
org.al,3,2
am,2,1
ao,2,1
ed.ao,3,2
gv.ao,3,2
og.ao,3,2
co.ao,3,2
pb.ao,3,2
it.ao,3,2
aq,2,1
ar,2,1
com.ar,3,2
edu.ar,3,2
gob.ar,3,2
gov.ar,3,2
int.ar,3,2
mil.ar,3,2
net.ar,3,2
org.ar,3,2
tur.ar,3,2
arpa,2,1
e164.arpa,3,2
in-addr.arpa,3,2
ip6.arpa,3,2
iris.arpa,3,2
uri.arpa,3,2
urn.arpa,3,2
as,2,1
gov.as,3,2
asia,2,1
at,2,1
ac.at,3,2
co.at,3,2
gv.at,3,2
or.at,3,2
au,2,1
com.au,3,2
net.au,3,2
org.au,3,2
edu.au,3,2
gov.au,3,2
asn.au,3,2
id.au,3,2
info.au,3,2
conf.au,3,2
oz.au,3,2
act.au,3,2
nsw.au,3,2
nt.au,3,2
qld.au,3,2
sa.au,3,2
tas.au,3,2
vic.au,3,2
wa.au,3,2
act.edu.au,4,3
nsw.edu.au,4,3
nt.edu.au,4,3
qld.edu.au,4,3
sa.edu.au,4,3
tas.edu.au,4,3
vic.edu.au,4,3
wa.edu.au,4,3
qld.gov.au,4,3
sa.gov.au,4,3
tas.gov.au,4,3
vic.gov.au,4,3
wa.gov.au,4,3
aw,2,1
com.aw,3,2
ax,2,1
az,2,1
com.az,3,2
net.az,3,2
int.az,3,2
gov.az,3,2
org.az,3,2
edu.az,3,2
info.az,3,2
pp.az,3,2
mil.az,3,2
name.az,3,2
pro.az,3,2
biz.az,3,2
ba,2,1
com.ba,3,2
edu.ba,3,2
gov.ba,3,2
mil.ba,3,2
net.ba,3,2
org.ba,3,2
bb,2,1
biz.bb,3,2
co.bb,3,2
com.bb,3,2
edu.bb,3,2
gov.bb,3,2
info.bb,3,2
net.bb,3,2
org.bb,3,2
store.bb,3,2
tv.bb,3,2
bd,3,1
be,2,1
ac.be,3,2
bf,2,1
gov.bf,3,2
bg,2,1
a.bg,3,2
b.bg,3,2
c.bg,3,2
d.bg,3,2
e.bg,3,2
f.bg,3,2
g.bg,3,2
h.bg,3,2
i.bg,3,2
j.bg,3,2
k.bg,3,2
l.bg,3,2
m.bg,3,2
n.bg,3,2
o.bg,3,2
p.bg,3,2
q.bg,3,2
r.bg,3,2
s.bg,3,2
t.bg,3,2
u.bg,3,2
v.bg,3,2
w.bg,3,2
x.bg,3,2
y.bg,3,2
z.bg,3,2
0.bg,3,2
1.bg,3,2
2.bg,3,2
3.bg,3,2
4.bg,3,2
5.bg,3,2
6.bg,3,2
7.bg,3,2
8.bg,3,2
9.bg,3,2
bh,2,1
com.bh,3,2
edu.bh,3,2
net.bh,3,2
org.bh,3,2
gov.bh,3,2
bi,2,1
co.bi,3,2
com.bi,3,2
edu.bi,3,2
or.bi,3,2
org.bi,3,2
biz,2,1
bj,2,1
asso.bj,3,2
barreau.bj,3,2
gouv.bj,3,2
bm,2,1
com.bm,3,2
edu.bm,3,2
gov.bm,3,2
net.bm,3,2
org.bm,3,2
bn,3,1
bo,2,1
com.bo,3,2
edu.bo,3,2
gov.bo,3,2
gob.bo,3,2
int.bo,3,2
org.bo,3,2
net.bo,3,2
mil.bo,3,2
tv.bo,3,2
br,2,1
adm.br,3,2
adv.br,3,2
agr.br,3,2
am.br,3,2
arq.br,3,2
art.br,3,2
ato.br,3,2
b.br,3,2
bio.br,3,2
blog.br,3,2
bmd.br,3,2
cim.br,3,2
cng.br,3,2
cnt.br,3,2
com.br,3,2
coop.br,3,2
ecn.br,3,2
eco.br,3,2
edu.br,3,2
emp.br,3,2
eng.br,3,2
esp.br,3,2
etc.br,3,2
eti.br,3,2
far.br,3,2
flog.br,3,2
fm.br,3,2
fnd.br,3,2
fot.br,3,2
fst.br,3,2
g12.br,3,2
ggf.br,3,2
gov.br,3,2
imb.br,3,2
ind.br,3,2
inf.br,3,2
jor.br,3,2
jus.br,3,2
leg.br,3,2
lel.br,3,2
mat.br,3,2
med.br,3,2
mil.br,3,2
mp.br,3,2
mus.br,3,2
net.br,3,2
nom.br,4,2
not.br,3,2
ntr.br,3,2
odo.br,3,2
org.br,3,2
ppg.br,3,2
pro.br,3,2
psc.br,3,2
psi.br,3,2
qsl.br,3,2
radio.br,3,2
rec.br,3,2
slg.br,3,2
srv.br,3,2
taxi.br,3,2
teo.br,3,2
tmp.br,3,2
trd.br,3,2
tur.br,3,2
tv.br,3,2
vet.br,3,2
vlog.br,3,2
wiki.br,3,2
zlg.br,3,2
bs,2,1
com.bs,3,2
net.bs,3,2
org.bs,3,2
edu.bs,3,2
gov.bs,3,2
bt,2,1
com.bt,3,2
edu.bt,3,2
gov.bt,3,2
net.bt,3,2
org.bt,3,2
bv,2,1
bw,2,1
co.bw,3,2
org.bw,3,2
by,2,1
gov.by,3,2
mil.by,3,2
com.by,3,2
of.by,3,2
bz,2,1
com.bz,3,2
net.bz,3,2
org.bz,3,2
edu.bz,3,2
gov.bz,3,2
ca,2,1
ab.ca,3,2
bc.ca,3,2
mb.ca,3,2
nb.ca,3,2
nf.ca,3,2
nl.ca,3,2
ns.ca,3,2
nt.ca,3,2
nu.ca,3,2
on.ca,3,2
pe.ca,3,2
qc.ca,3,2
sk.ca,3,2
yk.ca,3,2
gc.ca,3,2
cat,2,1
cc,2,1
cd,2,1
gov.cd,3,2
cf,2,1
cg,2,1
ch,2,1
ci,2,1
org.ci,3,2
or.ci,3,2
com.ci,3,2
co.ci,3,2
edu.ci,3,2
ed.ci,3,2
ac.ci,3,2
net.ci,3,2
go.ci,3,2
asso.ci,3,2
xn--aroport-bya.ci,3,2
aéroport.ci,3,2
int.ci,3,2
presse.ci,3,2
md.ci,3,2
gouv.ci,3,2
ck,3,1
www.ck,2,2
cl,2,1
gov.cl,3,2
gob.cl,3,2
co.cl,3,2
mil.cl,3,2
cm,2,1
co.cm,3,2
com.cm,3,2
gov.cm,3,2
net.cm,3,2
cn,2,1
ac.cn,3,2
com.cn,3,2
edu.cn,3,2
gov.cn,3,2
net.cn,3,2
org.cn,3,2
mil.cn,3,2
公司.cn,3,2
xn--55qx5d.cn,3,2
网络.cn,3,2
xn--io0a7i.cn,3,2
xn--od0alg.cn,3,2
網絡.cn,3,2
ah.cn,3,2
bj.cn,3,2
cq.cn,3,2
fj.cn,3,2
gd.cn,3,2
gs.cn,3,2
gz.cn,3,2
gx.cn,3,2
ha.cn,3,2
hb.cn,3,2
he.cn,3,2
hi.cn,3,2
hl.cn,3,2
hn.cn,3,2
jl.cn,3,2
js.cn,3,2
jx.cn,3,2
ln.cn,3,2
nm.cn,3,2
nx.cn,3,2
qh.cn,3,2
sc.cn,3,2
sd.cn,3,2
sh.cn,3,2
sn.cn,3,2
sx.cn,3,2
tj.cn,3,2
xj.cn,3,2
xz.cn,3,2
yn.cn,3,2
zj.cn,3,2
hk.cn,3,2
mo.cn,3,2
tw.cn,3,2
co,2,1
arts.co,3,2
com.co,3,2
edu.co,3,2
firm.co,3,2
gov.co,3,2
info.co,3,2
int.co,3,2
mil.co,3,2
net.co,3,2
nom.co,3,2
org.co,3,2
rec.co,3,2
web.co,3,2
com,2,1
coop,2,1
cr,2,1
ac.cr,3,2
co.cr,3,2
ed.cr,3,2
fi.cr,3,2
go.cr,3,2
or.cr,3,2
sa.cr,3,2
cu,2,1
com.cu,3,2
edu.cu,3,2
org.cu,3,2
net.cu,3,2
gov.cu,3,2
inf.cu,3,2
cv,2,1
cw,2,1
com.cw,3,2
edu.cw,3,2
net.cw,3,2
org.cw,3,2
cx,2,1
gov.cx,3,2
cy,2,1
ac.cy,3,2
biz.cy,3,2
com.cy,3,2
ekloges.cy,3,2
gov.cy,3,2
ltd.cy,3,2
name.cy,3,2
net.cy,3,2
org.cy,3,2
parliament.cy,3,2
press.cy,3,2
pro.cy,3,2
tm.cy,3,2
cz,2,1
de,2,1
dj,2,1
dk,2,1
dm,2,1
com.dm,3,2
net.dm,3,2
org.dm,3,2
edu.dm,3,2
gov.dm,3,2
do,2,1
art.do,3,2
com.do,3,2
edu.do,3,2
gob.do,3,2
gov.do,3,2
mil.do,3,2
net.do,3,2
org.do,3,2
sld.do,3,2
web.do,3,2
dz,2,1
com.dz,3,2
org.dz,3,2
net.dz,3,2
gov.dz,3,2
edu.dz,3,2
asso.dz,3,2
pol.dz,3,2
art.dz,3,2
ec,2,1
com.ec,3,2
info.ec,3,2
net.ec,3,2
fin.ec,3,2
k12.ec,3,2
med.ec,3,2
pro.ec,3,2
org.ec,3,2
edu.ec,3,2
gov.ec,3,2
gob.ec,3,2
mil.ec,3,2
edu,2,1
ee,2,1
edu.ee,3,2
gov.ee,3,2
riik.ee,3,2
lib.ee,3,2
med.ee,3,2
com.ee,3,2
pri.ee,3,2
aip.ee,3,2
org.ee,3,2
fie.ee,3,2
eg,2,1
com.eg,3,2
edu.eg,3,2
eun.eg,3,2
gov.eg,3,2
mil.eg,3,2
name.eg,3,2
net.eg,3,2
org.eg,3,2
sci.eg,3,2
er,3,1
es,2,1
com.es,3,2
nom.es,3,2
org.es,3,2
gob.es,3,2
edu.es,3,2
et,2,1
com.et,3,2
gov.et,3,2
org.et,3,2
edu.et,3,2
biz.et,3,2
name.et,3,2
info.et,3,2
net.et,3,2
eu,2,1
fi,2,1
aland.fi,3,2
fj,3,1
fk,3,1
fm,2,1
fo,2,1
fr,2,1
com.fr,3,2
asso.fr,3,2
